ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60610,12,03/15/2020,03/21/2020,24,29,62,74.3,78,98,200,251.2,0.3,0.3,0,0,0.0,0.0,39019,60610-12,POINT (-87.63581 41.90455)
60637,11,03/08/2020,03/14/2020,,,,,7,8,15,16.9,,,0,0,0.0,0.0,47454,60637-11,POINT (-87.604053 41.780991)
60638,36,08/30/2020,09/05/2020,74,1832,126,3115.8,521,11343,886,19291.8,0.1,0.2,1,47,1.7,79.9,58797,60638-36,POINT (-87.771902 41.787032)
60638,37,09/06/2020,09/12/2020,57,1889,97,3212.7,442,11785,752,20043.5,0.1,0.2,0,47,0.0,79.9,58797,60638-37,POINT (-87.771902 41.787032)
60638,38,09/13/2020,09/19/2020,75,1964,128,3340.3,557,12342,947,20990.9,0.1,0.2,1,48,1.7,81.6,58797,60638-38,POINT (-87.771902 41.787032)
60638,39,09/20/2020,09/26/2020,95,2059,162,3501.9,540,12882,918,21909.3,0.2,0.2,0,48,0.0,81.6,58797,60638-39,POINT (-87.771902 41.787032)
60638,40,09/27/2020,10/03/2020,110,2169,187,3689,602,13484,1024,22933.1,0.2,0.2,1,49,1.7,83.3,58797,60638-40,POINT (-87.771902 41.787032)
Unknown,15,04/05/2020,04/11/2020,9,18,0,0,518,2040,0,0,0.0,0.0,0,0,0.0,0.0,0,Unknown-15,
60601,12,03/15/2020,03/21/2020,10,14,68,95.4,33,40,225,272.6,0.3,0.4,0,0,0.0,0.0,14675,60601-12,POINT (-87.622844 41.886262)
60612,12,03/15/2020,03/21/2020,19,19,55,55.4,91,101,265,294.4,0.2,0.2,0,0,0.0,0.0,34311,60612-12,POINT (-87.687011 41.88004)
60620,17,04/19/2020,04/25/2020,185,681,272,1000.1,813,2046,1194,3004.6,0.2,0.3,4,45,5.9,66.1,68096,60620-17,POINT (-87.651656 41.740873)
60609,11,03/08/2020,03/14/2020,,,,,5,7,8,11.4,,,0,0,0.0,0.0,61495,60609-11,POINT (-87.653382 41.812017)
60617,20,05/10/2020,05/16/2020,140,879,170,1065,766,3876,928,4696.2,0.2,0.2,6,41,7.3,49.7,82534,60617-20,POINT (-87.556897 41.721257)
60639,21,05/17/2020,05/23/2020,366,2928,404,3234.8,1347,7621,1488,8419.4,0.3,0.4,11,80,12.2,88.4,90517,60639-21,POINT (-87.75531 41.920609)
60639,37,09/06/2020,09/12/2020,79,4567,87,5045.5,600,21316,663,23549.2,0.1,0.2,0,121,0.0,133.7,90517,60639-37,POINT (-87.75531 41.920609)
60639,38,09/13/2020,09/19/2020,81,4648,90,5134.9,651,21967,719,24268.4,0.1,0.2,0,121,0.0,133.7,90517,60639-38,POINT (-87.75531 41.920609)
60639,39,09/20/2020,09/26/2020,105,4753,116,5250.9,718,22685,793,25061.6,0.1,0.2,0,121,0.0,133.7,90517,60639-39,POINT (-87.75531 41.920609)
60639,40,09/27/2020,10/03/2020,101,4854,112,5362.5,726,23411,802,25863.6,0.1,0.2,1,122,1.1,134.8,90517,60639-40,POINT (-87.75531 41.920609)
60640,14,03/29/2020,04/04/2020,44,101,63,144.9,160,387,230,555.1,0.3,0.3,2,3,2.9,4.3,69715,60640-14,POINT (-87.662232 41.971888)
60640,15,04/05/2020,04/11/2020,74,175,106,251,186,573,267,821.9,0.4,0.3,5,8,7.2,11.5,69715,60640-15,POINT (-87.662232 41.971888)
60642,10,03/01/2020,03/07/2020,,,,,1,1,5,5,,,0,0,0.0,0.0,20201,60642-10,POINT (-87.657821 41.899935)
60640,17,04/19/2020,04/25/2020,148,467,212,669.9,471,1377,676,1975.2,0.3,0.3,13,27,18.6,38.7,69715,60640-17,POINT (-87.662232 41.971888)
60640,25,06/14/2020,06/20/2020,19,862,27,1236.5,830,5816,1191,8342.5,0.0,0.1,1,84,1.4,120.5,69715,60640-25,POINT (-87.662232 41.971888)
60640,26,06/21/2020,06/27/2020,18,880,26,1262.3,956,6772,1371,9713.8,0.0,0.1,1,85,1.4,121.9,69715,60640-26,POINT (-87.662232 41.971888)
60646,11,03/08/2020,03/14/2020,,,,,4,7,14,25,,,0,0,0.0,0.0,27987,60646-11,POINT (-87.761826 41.993931)
